[2025-07-31 11:42:31] LLMClient-dashscope - INFO - 🚀 初始化LLM客户端 - 提供商: dashscope, 模型: qwen-turbo
[2025-07-31 11:42:31] ToolRegistry - INFO - 🗄️ 数据库工具注册完成
[2025-07-31 11:42:31] ToolRegistry - INFO - 🛠️ 基础工具注册完成
[2025-07-31 11:42:31] LLMClient-dashscope - INFO - 🚀 初始化LLM客户端 - 提供商: dashscope, 模型: qwen-turbo
[2025-07-31 11:42:31] ToolRegistry - INFO - 🗄️ 数据库工具注册完成
[2025-07-31 11:42:31] ToolRegistry - INFO - 🛠️ 基础工具注册完成
[2025-07-31 11:42:31] LLMClient-dashscope - INFO - 🚀 初始化LLM客户端 - 提供商: dashscope, 模型: qwen-turbo
[2025-07-31 11:42:47] ToolRegistry - INFO - Tool call: database_search_modules by real_verilog_design_agent - SUCCESS (0.000s)
[2025-07-31 11:42:47] ToolRegistry - INFO - Tool call: database_search_modules by real_verilog_design_agent - SUCCESS (0.000s)
[2025-07-31 11:43:24] ToolRegistry - INFO - Tool call: database_search_modules by real_verilog_design_agent - SUCCESS (0.000s)
[2025-07-31 11:43:24] ToolRegistry - INFO - Tool call: database_search_modules by real_verilog_design_agent - SUCCESS (0.000s)
[2025-07-31 11:44:01] ToolRegistry - INFO - Tool call: database_search_modules by real_verilog_design_agent - SUCCESS (0.000s)
[2025-07-31 11:44:01] ToolRegistry - INFO - Tool call: database_search_modules by real_verilog_design_agent - SUCCESS (0.000s)
[2025-07-31 11:44:36] ToolRegistry - INFO - Tool call: database_search_modules by real_verilog_design_agent - SUCCESS (0.000s)
[2025-07-31 11:44:36] ToolRegistry - INFO - Tool call: database_search_modules by real_verilog_design_agent - SUCCESS (0.000s)
[2025-07-31 11:45:17] ToolRegistry - INFO - Tool call: database_search_modules by real_verilog_design_agent - SUCCESS (0.000s)
[2025-07-31 11:45:17] ToolRegistry - INFO - Tool call: database_search_modules by real_verilog_design_agent - SUCCESS (0.000s)
[2025-07-31 11:46:01] ToolRegistry - INFO - Tool call: database_search_modules by real_verilog_design_agent - SUCCESS (0.000s)
[2025-07-31 11:46:01] ToolRegistry - INFO - Tool call: database_search_modules by real_verilog_design_agent - SUCCESS (0.000s)
[2025-07-31 11:46:45] ToolRegistry - INFO - Tool call: database_search_modules by real_verilog_design_agent - SUCCESS (0.000s)
[2025-07-31 11:46:45] ToolRegistry - INFO - Tool call: database_search_modules by real_verilog_design_agent - SUCCESS (0.000s)
[2025-07-31 11:47:34] ToolRegistry - INFO - Tool call: database_search_modules by real_verilog_design_agent - SUCCESS (0.000s)
[2025-07-31 11:47:34] ToolRegistry - INFO - Tool call: database_search_modules by real_verilog_design_agent - SUCCESS (0.000s)
