[2025-08-01 20:39:41] core.schema_system.enhanced_base_agent - ERROR - ❌ generate_verilog_code 参数修复失败
[2025-08-01 20:40:44] core.schema_system.enhanced_base_agent - ERROR - ❌ analyze_code_quality 参数修复失败
[2025-08-01 20:40:44] core.schema_system.enhanced_base_agent - ERROR - ❌ generate_testbench 参数修复失败
[2025-08-01 20:40:44] core.schema_system.enhanced_base_agent - ERROR - ❌ generate_build_script 参数修复失败
[2025-08-01 20:41:28] core.schema_system.enhanced_base_agent - ERROR - ❌ analyze_code_quality 参数修复失败
[2025-08-01 20:41:28] core.schema_system.enhanced_base_agent - ERROR - ❌ generate_testbench 参数修复失败
[2025-08-01 20:41:28] core.schema_system.enhanced_base_agent - ERROR - ❌ generate_build_script 参数修复失败
[2025-08-01 20:42:10] core.schema_system.enhanced_base_agent - ERROR - ❌ analyze_code_quality 参数修复失败
[2025-08-01 20:42:10] core.schema_system.enhanced_base_agent - ERROR - ❌ generate_testbench 参数修复失败
[2025-08-01 20:42:10] core.schema_system.enhanced_base_agent - ERROR - ❌ generate_build_script 参数修复失败
be str, not None
