[2025-08-04 19:32:09] LLMClient-dashscope - ERROR - LLM请求最终失败，已尝试 3 次: 403, message='{"error":{"code":"AllocationQuota.FreeTierOnly","param":null,"message":"The free tier of the model has been exhausted. If you wish to continue access the model on a paid basis, please disable the \\"use free tier only\\" mode in the management console.","type":"AllocationQuota.FreeTierOnly"},"id":"chatcmpl-9a3a679c-95b6-9be9-a662-1540cd4b0fa2","request_id":"9a3a679c-95b6-9be9-a662-1540cd4b0fa2"}', url='https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions'
[2025-08-04 19:32:13] LLMClient-dashscope - ERROR - LLM请求最终失败，已尝试 3 次: 403, message='{"error":{"code":"AllocationQuota.FreeTierOnly","param":null,"message":"The free tier of the model has been exhausted. If you wish to continue access the model on a paid basis, please disable the \\"use free tier only\\" mode in the management console.","type":"AllocationQuota.FreeTierOnly"},"id":"chatcmpl-58308e6d-77f4-99f2-ac06-4703dfac0706","request_id":"58308e6d-77f4-99f2-ac06-4703dfac0706"}', url='https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions'
[2025-08-04 19:32:16] LLMClient-dashscope - ERROR - LLM请求最终失败，已尝试 3 次: 403, message='{"error":{"code":"AllocationQuota.FreeTierOnly","param":null,"message":"The free tier of the model has been exhausted. If you wish to continue access the model on a paid basis, please disable the \\"use free tier only\\" mode in the management console.","type":"AllocationQuota.FreeTierOnly"},"id":"chatcmpl-ff3fdb1e-8363-9a70-b0f7-8f0e561a71f5","request_id":"ff3fdb1e-8363-9a70-b0f7-8f0e561a71f5"}', url='https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions'
[2025-08-04 19:32:20] LLMClient-dashscope - ERROR - LLM请求最终失败，已尝试 3 次: 403, message='{"error":{"code":"AllocationQuota.FreeTierOnly","param":null,"message":"The free tier of the model has been exhausted. If you wish to continue access the model on a paid basis, please disable the \\"use free tier only\\" mode in the management console.","type":"AllocationQuota.FreeTierOnly"},"id":"chatcmpl-7504ce74-f1db-9149-b966-581f35d6cb10","request_id":"7504ce74-f1db-9149-b966-581f35d6cb10"}', url='https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions'
[2025-08-04 19:32:24] LLMClient-dashscope - ERROR - LLM请求最终失败，已尝试 3 次: 403, message='{"error":{"code":"AllocationQuota.FreeTierOnly","param":null,"message":"The free tier of the model has been exhausted. If you wish to continue access the model on a paid basis, please disable the \\"use free tier only\\" mode in the management console.","type":"AllocationQuota.FreeTierOnly"},"id":"chatcmpl-354a6346-b888-96ab-823d-0423dffc8857","request_id":"354a6346-b888-96ab-823d-0423dffc8857"}', url='https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions'
":"chatcmpl-58308e6d-77f4-99f2-ac06-4703dfac0706","request_id":"58308e6d-77f4-99f2-ac06-4703dfac0706"}', url='https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions'
[2025-08-04 19:32:16] Agent.enhanced_real_code_review_agent - ERROR - ❌ LLM调用失败: LLM请求最终失败，已尝试 3 次: 403, message='{"error":{"code":"AllocationQuota.FreeTierOnly","param":null,"message":"The free tier of the model has been exhausted. If you wish to continue access the model on a paid basis, please disable the \\"use free tier only\\" mode in the management console.","type":"AllocationQuota.FreeTierOnly"},"id":"chatcmpl-ff3fdb1e-8363-9a70-b0f7-8f0e561a71f5","request_id":"ff3fdb1e-8363-9a70-b0f7-8f0e561a71f5"}', url='https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions'
[2025-08-04 19:32:16] Agent.enhanced_real_code_review_agent - ERROR - ❌ Function Calling迭代失败: LLM请求最终失败，已尝试 3 次: 403, message='{"error":{"code":"AllocationQuota.FreeTierOnly","param":null,"message":"The free tier of the model has been exhausted. If you wish to continue access the model on a paid basis, please disable the \\"use free tier only\\" mode in the management console.","type":"AllocationQuota.FreeTierOnly"},"id":"chatcmpl-ff3fdb1e-8363-9a70-b0f7-8f0e561a71f5","request_id":"ff3fdb1e-8363-9a70-b0f7-8f0e561a71f5"}', url='https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions'
[2025-08-04 19:32:20] Agent.enhanced_real_code_review_agent - ERROR - ❌ LLM调用失败: LLM请求最终失败，已尝试 3 次: 403, message='{"error":{"code":"AllocationQuota.FreeTierOnly","param":null,"message":"The free tier of the model has been exhausted. If you wish to continue access the model on a paid basis, please disable the \\"use free tier only\\" mode in the management console.","type":"AllocationQuota.FreeTierOnly"},"id":"chatcmpl-7504ce74-f1db-9149-b966-581f35d6cb10","request_id":"7504ce74-f1db-9149-b966-581f35d6cb10"}', url='https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions'
[2025-08-04 19:32:20] Agent.enhanced_real_code_review_agent - ERROR - ❌ Function Calling迭代失败: LLM请求最终失败，已尝试 3 次: 403, message='{"error":{"code":"AllocationQuota.FreeTierOnly","param":null,"message":"The free tier of the model has been exhausted. If you wish to continue access the model on a paid basis, please disable the \\"use free tier only\\" mode in the management console.","type":"AllocationQuota.FreeTierOnly"},"id":"chatcmpl-7504ce74-f1db-9149-b966-581f35d6cb10","request_id":"7504ce74-f1db-9149-b966-581f35d6cb10"}', url='https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions'
[2025-08-04 19:32:24] Agent.enhanced_real_code_review_agent - ERROR - ❌ LLM调用失败: LLM请求最终失败，已尝试 3 次: 403, message='{"error":{"code":"AllocationQuota.FreeTierOnly","param":null,"message":"The free tier of the model has been exhausted. If you wish to continue access the model on a paid basis, please disable the \\"use free tier only\\" mode in the management console.","type":"AllocationQuota.FreeTierOnly"},"id":"chatcmpl-354a6346-b888-96ab-823d-0423dffc8857","request_id":"354a6346-b888-96ab-823d-0423dffc8857"}', url='https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions'
[2025-08-04 19:32:24] Agent.enhanced_real_code_review_agent - ERROR - ❌ 自主继续迭代失败: LLM请求最终失败，已尝试 3 次: 403, message='{"error":{"code":"AllocationQuota.FreeTierOnly","param":null,"message":"The free tier of the model has been exhausted. If you wish to continue access the model on a paid basis, please disable the \\"use free tier only\\" mode in the management console.","type":"AllocationQuota.FreeTierOnly"},"id":"chatcmpl-354a6346-b888-96ab-823d-0423dffc8857","request_id":"354a6346-b888-96ab-823d-0423dffc8857"}', url='https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions'
